candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P00000679,2012,"CARROLL, JERRY LEON",NONE,Challenger,P,320.00,320.00,2.00,{C00214999},2012-12-31 00:00:00,C00214999,JERRY CARROLL COMMITTEE FOR PRESIDENT
P00002295,2012,"BYERLEY, LESTER F JR",OTHER,Challenger,P,0.0,0.0,0.0,{C00497636},,C00497636,BYERLEY FOR PRESIDENT COMMITTEE 2012
P00003236,2012,"PRATTAS, JAMES JOHN",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,"{C00432898,C00497107}",,C00497107,PRATTAS FOR PRESIDENT
P00003343,2012,"CROW, RANDOLPH WILSON",REPUBLICAN PARTY,Challenger,P,4448.00,4438.00,0.0,{C00341719},2012-12-31 00:00:00,C00341719,RANDY CROW FOR PRESIDENT
P00003608,2012,"CAIN, HERMAN",REPUBLICAN PARTY,Challenger,P,16917976.94,16913859.48,4117.46,{C00496067},2012-12-31 00:00:00,C00496067,FRIENDS OF HERMAN CAIN INC
P00003715,2012,"ASHE, WARREN R PRESIDENT",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00423640},,C00423640,PRESIDENT WARREN RODERICK ASHE
P00003731,2012,"MARTIN, ANDY",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00492959},,C00492959,ANDY MARTIN CAMPAIGN COMMITTEE
P00003814,2012,"MALONE, YEHANNA JOAN M M",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00428987},,C00428987,J MALONE PRESIDENT 2016
P00003962,2012,"SCHRINER, JOSEPH CHARLES",UNKNOWN,Challenger,P,12809.00,13758.00,20.00,{C00385153},2012-12-30 00:00:00,C00385153,SCHRINER PRESIDENTIAL ELECTION COMMITTEE
P00004523,2012,"HARRELL, SHARON WANDA",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00518886},,C00518886,SHARON HARRELL STRATEGIC DEFENCE FUND OR SHARON HARRELL NON PROFIT CORPORATION
P10000016,2012,"HEARD JR, HAROLD C",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00495895},,C00495895,HAROLD HEARD FOR PRESIDENT 2012
P20000089,2012,"FELLURE, LOWELL JACKSON",REPUBLICAN PARTY,Challenger,P,6211.00,6211.00,1180.00,"{C00278457,C00536367}",2012-12-31 00:00:00,C00536367,JACK FELLURE CAMPAIGN COMMITTEE
P20001376,2012,"RICHARDSON, DARCY G",DEMOCRATIC PARTY,Challenger,P,10443.00,9540.00,903.00,{C00507749},2012-12-31 00:00:00,C00507749,DARCY RICHARDSON FOR PRESIDENT COMMITTEE
P20001905,2012,"LEE, ROBERT",INDEPENDENT,Challenger,P,0.0,0.0,0.0,"{C00471409,C00471417}",,,
P20001921,2012,"DAVIS, JEFF HOWARD TAFT",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00428417},,C00428417,COMMITTEE TO ELECT JEFF DAVIS PRESIDENT IN 2012
P20001939,2012,"MOSLER, WARREN BRUCE BRUCE",DEMOCRATIC PARTY,Challenger,P,31423.22,31423.22,0.00,{C00459248},2010-03-31 00:00:00,C00459248,"MOSLER FOR PRESIDENT 2012, INC."
P20001947,2012,"MILLER, THOMAS JOSEPH",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00462010},,C00462010,MILLER FOR PRESIDENT
P20001954,2012,"GODWIN, MILLS WRENAL",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00462390},,C00462390,007 GO GODWIN COMMITTEE
P20001996,2012,"STEPHENS, GARY MONTGOMERY",DEMOCRATIC PARTY,Challenger,P,0.00,0.00,0.00,{C00465435},2009-11-07 00:00:00,C00465435,GARY STEPHENS FOR US PRESIDENT
