candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P00000034,1984,"SANDERSON, DANIEL E.",UNKNOWN,,P,5971.00,5474.00,0.0,"{C00099028,C00173930}",1984-09-30 00:00:00,C00173930,COMMITTEE TO ELECT DANIEL E SANDERSON
P00000075,1984,"CHAVEZ, ANTHONY SOLOMON",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,"{C00077222,C00090985,C00096321,C00113498,C00166371}",,C00166371,PATRIOTS FOR CHAVEZ NATIONAL PAC
P00000091,1984,"HILL, RICHARD RHORER",INDEPENDENT,,P,0.0,0.0,0.0,"{C00114736,C00182345}",,C00114736,HILL IN '84 COMMITTEE
P00000265,1984,"TRAPNELL, JARRETT BROCK",UNKNOWN,,P,126.00,50.00,0.0,"{C00103382,C00140467}",1983-07-31 00:00:00,C00140467,PRISONER'S POLITICAL ACTION COMMITTEE
P00000299,1984,"SEAMAN, K CORE",UNKNOWN,,P,8561.00,1163.00,0.0,"{C00104737,C00164707}",1984-12-07 00:00:00,C00164707,COMMITTEE TO ELECT K CORE SEAMAN FOR PRESIDENT OF US
P00000315,1984,"DEFELICE, GERALD THOMAS",REPUBLICAN PARTY,,P,1050.00,1026.00,0.0,{C00104935},1984-12-31 00:00:00,C00104935,GERALD THOMAS DEFELICE FOR PRESIDENT OF USA
P00000406,1984,"FERNANDEZ, BENJAMIN",REPUBLICAN PARTY,,P,143047.00,139359.00,0.0,"{C00084152,C00140780}",1984-12-31 00:00:00,C00140780,BEN FERNANDEZ FOR PRESIDENT COMMITTEE (FKA AMERICAN PRESIDENTAL COMMITTEE)
P00000588,1984,"O'CUMMINGS, GRADY 3RD",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,"{C00108464,C00108472,C00108480,C00108498,C00123620,C00164335}",,C00108464,NATIONAL COMMITTEE FOR GRADY O'CUMMINGS
P00000646,1984,"WILSON, LUTHER JAMES",UNKNOWN,,P,1683.00,1719.00,0.0,"{C00110122,C00166389}",1984-12-31 00:00:00,C00110122,REPUBLICAN ELECTION CAMPAIGN CMTE (PCC WILSON)
P00000661,1984,"HIMMELMAN, GERARD A SR",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00128314},,C00128314,HIMMELMAN PRESIDENT 1980
P00000679,1984,"CARROLL, JERRY LEON",INDEPENDENT,,P,2037.00,2051.00,0.0,{C00108902},1984-11-30 00:00:00,C00108902,JERRY CARROLL FOR PRESIDENT COMMITTEE
P00000729,1984,"MUZYK, GEORGE ALEXANDER",INDEPENDENT,Challenger,P,35.00,35.00,0.0,{C00109249},1984-11-14 00:00:00,C00109249,MODERATE INDEPENDENT (PCC MUZYK)
P00000745,1984,"NEVERS, ROBERT ALLISON",UNKNOWN,,P,0.0,0.0,0.0,{C00109421},,C00109421,COMMITTEE TO ELECT ROBERT ALLISON NEVERS AND DR SCOTTIE KEILLOR AS PRESIDENT AND VICE-P
P00000851,1984,"GRAYSON, RICHARD",UNKNOWN,,P,0.00,0.00,0.0,"{C00110601,C00176511}",1983-12-31 00:00:00,C00110601,GRAYSON FOR PRESIDENT 1984
P00001495,1984,"SHOFNER, BOBBIE WELDON",UNKNOWN,,P,0.00,0.00,0.0,{C00113795},1984-12-31 00:00:00,C00113795,NEVADA COMMITTEE TO ELECT SHOFNER PRESIDENT
P00001768,1984,"COTNER, ROBERT EUGENE",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00116335},,C00116335,CONSTITUTIONAL BILL OF RIGHTS COMMITTEE; THE
P00001792,1984,"ENGLERIUS, MAXIMUS T",INDEPENDENT,,P,0.0,0.0,0.0,{C00115899},,C00115899,BLUE EAGLE SERVICES
P00001826,1984,"JAHNKE, WILLIAM EDWAROL",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00116343},,C00116343,POLITICAL COMMITTEE
P00002295,1984,"BYERLEY, LESTER F JR",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00120485},,C00120485,DEMOCRATIC COMMITTEE TO ELECT LESTER BYERLEY JR
P00002592,1984,"BENTLEY, THOMAS",INDEPENDENT,,P,0.0,0.0,0.0,{C00150409},,C00150409,COALITION TO ELECT TOM BENTLEY PRESIDENT
P00002667,1984,"POLAND, HAROLD L",INDEPENDENT,,P,1.00,0.00,0.0,{C00125708},1985-01-01 00:00:00,C00125708,FONTHILL ABBEY POLAND FOR PRESIDENT COMMITTEE
P00002675,1984,"BONNELL, KENNETH MYRON",INDEPENDENT,,P,0.0,0.0,0.0,{C00155499},,C00155499,BONNELL FOR PRESIDENT
P00003079,1984,"BREWSTER, ROBERT L",NO PARTY AFFILIATION,,P,5280.00,8820.00,0.0,{C00136325},1984-09-30 00:00:00,C00136325,CHRISTIAN (NON-LAWYER) COMMITTEE
P20000022,1984,"MCGOVERN, GEORGE STANLEY",DEMOCRATIC PARTY,,P,1803688.00,1790363.00,0.0,"{C00030429,C00170407}",1984-12-31 00:00:00,C00170407,FRIENDS OF GEORGE MCGOVERN
P40000028,1984,"LOPEZ-ESCAPA, CESAR",INDEPENDENT,,P,0.0,0.0,0.0,{C00141655},,C00141655,FEDERATION (CESAR LOPEZ-ESCAPA)
P40000036,1984,"LELA, WAYNE",INDEPENDENT,,P,3840.00,3840.00,0.0,{C00143016},1984-10-17 00:00:00,C00143016,WAYNE LELA FOR PRESIDENT
P40000044,1984,"GLOVER, JAMES IRVIN",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00143107},1981-07-31 00:00:00,C00143107,JAMES IRVIN GLOVER CAMPAGIN COMMITTEE
P40000051,1984,"LIVENGOOD, STEVEN D",REPUBLICAN PARTY,,P,0.00,0.00,0.0,{C00143248},1982-11-11 00:00:00,C00143248,LIVENGOOD FOR PRESIDENT COMMITTEE
