cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00049972,Michael Durant (R),7332880.3100000005,4330221.95,1000.0,540215.31,6800000.0,-8335.0,3002658.36,456273.0,83942.31,2022-05-04 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Alabama,"","",,    ,0,2,N
N00048812,Katie Britt (R),6821636.64,4749888.899999999,368300.0,6394485.68,0.0,58850.96,2785627.9,6227871.44,166614.24,2022-05-04 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Alabama,"","",,    ,0,2,N
N00030910,Mo Brooks (R),2746910.4,3207312.34,68100.0,2697647.86,0.0,-18837.46,677099.24,2051385.92,646261.94,2022-05-04 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Alabama,"","",,AL05,0,2,N
N00031440,Will Boyd (D),32884.24,31324.96,0.0,27805.0,5079.24,0.0,1559.28,26750.0,1055.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Alabama,"","",,    ,0,2,N
N00049974,Karla Dupriest (R),4350.0,2091.6,0.0,4150.0,200.0,0.0,2258.4,4050.0,100.0,2022-05-04 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Alabama,"","",,    ,0,2,N
N00049022,Jake Schafer (R),3768.48,3667.29,0.0,3768.48,0.0,0.0,101.19,3768.48,0.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Alabama,"","",,    ,0,2,N
N00049223,Lillie Boddie (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",O,Alabama,"","",,,0,2,N
N00049973,Richard Bowers (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",O,Alabama,"","",,,0,2,N
N00044687,Brandaun Dean (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,O,Alabama,"","",,,0,2,N
N00050229,Lanny Jackson (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",O,Alabama,"","",,,0,2,N
N00044406,Jarmal Jabbar Sanders (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",O,Alabama,"","",,,0,2,N
