cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00030612,Marco Rubio (R),25254738.0,21836840.0,3131112.0,19367719.0,0.0,2755907.0,182457.0,13026407.0,6341310.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,52.0,W,I,Florida,"","",2016-08-30 00:00:00 +0000,FLS2,0,1,N
N00033091,Patrick Murphy (D),18575732.0,19030002.0,2062163.0,13559246.0,2004909.0,949414.0,82388.0,11114639.0,2444600.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,44.3,L,C,Florida,"","",2016-08-30 00:00:00 +0000,FL18,0,2,N
N00039470,Anton Khoury (I),184071.69,183580.78,0.0,30840.8,153230.89,0.0,489.0,26650.0,4190.8,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.0,L,C,Florida,"","",2016-08-30 00:00:00 +0000,    ,0,2,N
N00040207,Steven Machat (I),25881.44,23837.0,0.0,0.0,8016.0,17865.44,1982.0,0.0,0.0,2016-06-30 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.3,L,C,Florida,"","",2016-08-30 00:00:00 +0000,    ,0,2,N
N00040112,Paul Stanton (L),20759.0,20759.0,0.0,16283.0,2274.0,2202.0,0.0,11750.0,4533.0,2016-12-20 00:00:00 +0000,2017-05-18 00:00:00 +0000,2.1,L,C,Florida,"","",2016-08-30 00:00:00 +0000,    ,0,2,N
N00037399,Bruce Nathan (I),17153.0,17150.0,0.0,2971.0,14182.0,0.0,0.0,750.0,2221.0,2016-11-15 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.6,L,C,Florida,"","",2016-08-30 00:00:00 +0000,    ,0,2,N
N00037568,Sean Guthrie (I),409.0,409.0,0.0,235.0,141.47,32.53,0.0,267.0,0.0,2016-09-30 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.0,L,C,Florida,"","",2016-08-30 00:00:00 +0000,    ,0,2,N
N00040114,Jon Bradley Friend (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Florida,"","",2016-08-30 00:00:00 +0000,,0,2,N
N00035791,Lateresa Jones (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Florida,"","",2016-08-30 00:00:00 +0000,,0,2,N
N00040235,Robert Kaplan (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Florida,"","",2016-08-30 00:00:00 +0000,,0,2,N
N00032619,Howard Knepper (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Florida,"","",2016-08-30 00:00:00 +0000,,0,2,N
N00037496,Walter Osborne (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Florida,"","",2016-08-30 00:00:00 +0000,,0,2,N
N00040234,Bradley Patrick (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Florida,"","",2016-08-30 00:00:00 +0000,,0,2,N
N00034752,Paiboon Sunthonchart Jr. (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Florida,"","",2016-08-30 00:00:00 +0000,,0,2,N
N00040233,Charles Tolbert (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Florida,"","",2016-08-30 00:00:00 +0000,,0,2,N
N00039471,Angela Walls-Windhauser (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Florida,"","",2016-08-30 00:00:00 +0000,,0,2,N
