cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00046125,Kelly Loeffler (R),92135745.22,70879780.07000001,2284746.7,55679414.09,23678492.3,10493092.13,21255965.15,35988185.64,19691228.45,2020-12-16 00:00:00 +0000,2021-04-01 00:00:00 +0000,25.9,L,I,Georgia,"","",2020-05-19 00:00:00 +0000,GAS2,0,1,N
N00046489,Raphael Warnock (D),145728550.0,142497506.0,814685.0,137236261.0,0.0,7677604.0,3231045.0,66869292.0,71861789.0,2021-01-25 00:00:00 +0000,2021-04-01 00:00:00 +0000,32.9,W,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00033518,Doug Collins (R),6705460.68,6684689.18,204050.0,5473209.36,60.0,1028141.32,20771.5,3141330.63,2331878.73,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,20.0,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,GA09,0,2,N
N00045586,Matthew Lieberman (D),1339526.85,1337325.65,12750.0,1509007.85,0.0,-182231.0,2201.2,1194063.86,314943.99,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,2.8,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00046633,Ed Tarver (D),285234.37,282834.47,1400.0,244234.37,0.0,39600.0,2399.9,181506.58,62727.79,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.5,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00045875,Wayne Johnson (R),151000.0,146812.52,0.0,1275.0,151000.0,-1275.0,4187.48,1050.0,225.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.7,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00046365,Richard Dien Winfield (D),61019.99,55517.2,0.0,61019.99,0.0,0.0,14062.93,38595.0,22424.99,2020-11-03 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.6,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00045874,Tamara Johnson-Shealey (D),59891.19,64258.88,0.0,46679.1,556.0,12656.09,-4367.69,15068.5,31610.6,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,2.2,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00035476,Derrick Grayson (R),33246.84,27828.93,0.0,22661.84,10585.0,0.0,6777.31,7683.0,14978.84,2020-10-14 00:00:00 +0000,2021-04-01 00:00:00 +0000,1.1,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00046966,Kandiss Taylor (R),30769.45,25549.45,0.0,25449.45,5320.0,0.0,0.0,20361.18,5088.27,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.82,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00046634,Deborah Jackson (D),19088.910000000003,20501.86,500.0,14721.88,3867.0299999999997,0.0,-1212.95,9976.0,4745.88,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,6.6,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00046720,John Fortuin (3),8681.17,8616.15,0.0,1190.45,7490.68,0.04,65.02,970.45,220.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.3,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00026122,Al Bartell (I),7753.87,7821.71,0.0,1333.87,6420.0,0.0,-232.57,1000.0,333.87,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.3,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00046942,Brian Slowinski (L),5220.0,5220.0,0.0,0.0,5220.0,0.0,0.0,0.0,0.0,2020-03-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.7,L,C,Georgia,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00047835,Michael Todd Greene (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Georgia,"","",2020-05-19 00:00:00 +0000,,0,2,N
N00047834,Annette Davis Jackson (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Georgia,"","",2020-05-19 00:00:00 +0000,,0,2,N
N00046719,Jamesia James (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Georgia,"","",2020-05-19 00:00:00 +0000,,0,2,N
N00047833,Joy Felicia Slade (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Georgia,"","",2020-05-19 00:00:00 +0000,,0,2,N
