cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00026823,John Kennedy (R),6147577.29,4927233.08,1016358.0,5077684.29,0.0,53535.0,1220342.0,4937519.29,140164.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,25.0,W,O,Louisiana,"","",2016-11-08 00:00:00 +0000,    ,0,2,N
N00039478,Foster Campbell (D),5795722.0,5775991.0,207717.0,5350845.0,300000.0,-62840.0,19732.0,2350004.0,3000840.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,17.5,L,O,Louisiana,"","",2016-11-08 00:00:00 +0000,    ,0,2,N
N00026595,Charles W Boustany Jr. (R),5520729.18,5871550.69,1990603.62,3565331.16,200000.0,-235205.6,15696.0,3485759.16,79571.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,15.4,L,O,Louisiana,"","",2016-11-08 00:00:00 +0000,LA03,0,2,N
N00029679,John Fleming (R),4516668.0,4512533.0,83400.0,1956394.0,1121000.0,1355874.0,4135.0,1569525.0,386867.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,10.6,L,O,Louisiana,"","",2016-11-08 00:00:00 +0000,LA04,0,2,N
N00039222,Caroline Fayard (D),1791230.0,2039072.0,8000.0,616722.0,695000.0,471508.0,2954.0,569493.0,47228.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,12.5,L,O,Louisiana,"","",2016-11-08 00:00:00 +0000,    ,0,2,N
N00035487,Rob Maness (R),659282.0,674809.0,37114.0,682672.0,3437.0,-63941.0,5624.0,479950.0,202720.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,4.7,L,O,Louisiana,"","",2016-11-08 00:00:00 +0000,    ,0,2,N
N00039931,Abhay Patel (R),376699.0,376685.0,5250.0,240291.0,153300.0,-22142.0,12.0,228435.0,11856.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.1,L,O,Louisiana,"","",2016-11-08 00:00:00 +0000,    ,0,2,N
N00005345,David Duke (R),193466.0,144103.0,0.0,172992.0,23038.0,-2564.0,49362.0,75338.0,97654.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,3.0,L,O,Louisiana,"","",2016-11-08 00:00:00 +0000,    ,0,2,N
N00039662,Josh Pellerin (D),155327.0,155327.0,0.0,75094.0,80233.0,0.0,0.0,61950.0,13144.0,2016-11-28 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.4,L,O,Louisiana,"","",2016-11-08 00:00:00 +0000,    ,0,2,N
N00039290,Derrick Edwards (3),41702.0,37897.0,0.0,10123.0,31579.0,0.0,64.0,9425.0,698.0,2016-11-28 00:00:00 +0000,2017-05-18 00:00:00 +0000,2.7,L,O,Louisiana,"","",2016-11-08 00:00:00 +0000,    ,0,2,N
