cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00037161,Catherine Cortez Masto (D),21781741.99,10919474.39,2062903.58,19371455.389999997,0.0,347383.02,11082821.43,11518102.7,7853348.6899999995,2022-03-31 00:00:00 +0000,2022-05-15 00:00:00 +0000,0.0, ,I,Nevada,"","",,NVS2,0,1,N
N00049246,Adam Laxalt (R),4305738.31,2067001.9500000002,176880.0,4156460.54,0.0,-27602.23,2238736.36,3737035.8,419424.74,2022-03-31 00:00:00 +0000,2022-05-15 00:00:00 +0000,0.0,"",C,Nevada,"","",,    ,0,2,N
N00048949,Sam Brown (R),3202237.8,2522431.79,500.0,3207716.8,16900.0,-22879.0,679806.01,1487018.09,1720698.71,2022-03-31 00:00:00 +0000,2022-05-15 00:00:00 +0000,0.0,"",C,Nevada,"","",,    ,0,2,N
N00049247,Bill Hockstedler (R),133378.23,17359.27,0.0,4278.23,129100.0,0.0,116018.96,3880.3,397.93,2022-03-31 00:00:00 +0000,2022-05-15 00:00:00 +0000,0.0,"",C,Nevada,"","",,    ,0,2,N
N00048828,Sharelle Mendenhall (R),79502.26,74472.34,0.0,37778.15,41789.11,-65.0,5029.92,21470.22,16307.93,2022-03-31 00:00:00 +0000,2022-05-15 00:00:00 +0000,0.0,"",C,Nevada,"","",,    ,0,2,N
N00049248,Joseph J Destin (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-15 00:00:00 +0000,0.0,"",C,Nevada,"","",,,0,2,N
N00048429,Peter Griffin (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-15 00:00:00 +0000,0.0, ,C,Nevada,"","",,,0,2,N
N00049245,Gretchen Rae Lowe (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-15 00:00:00 +0000,0.0,"",C,Nevada,"","",,,0,2,N
N00027086,Carlo Poliak (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-15 00:00:00 +0000,0.0,"",C,Nevada,"","",,,0,2,N
N00051159,Corey Reid (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-15 00:00:00 +0000,0.0,"",C,Nevada,"","",,,0,2,N
