cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00050244,Dave McCormick (R),15915575.15,14061567.44,62400.0,4887575.15,11000000.0,-34400.0,1854007.71,4694320.8,193254.35,2022-04-27 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00038201,John Fetterman (D),15876593.58,14011496.39,35079.03,15900132.55,0.0,-58618.0,1865097.19,5870109.13,10030023.42,2022-04-27 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00050027,Mehmet Oz (R),15071812.88,14160234.66,2900.0,3012997.32,12055915.56,0.0,911578.22,2407154.26,605843.06,2022-04-27 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00041870,Conor Lamb (D),6069255.829999999,4704817.859999999,246101.0,5857933.87,0.0,-34779.04,2198257.1,5108048.75,749885.12,2022-04-27 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,PA17,0,2,N
N00048835,Carla Sands (R),4641698.13,4393873.79,6000.0,744048.13,3900000.0,-8350.0,247824.34,712755.87,31292.26,2022-04-27 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00048445,Val Arkoosh (D),2506420.82,2044974.63,56800.0,2237664.25,503191.76,-291235.19,461446.19,1830084.47,407579.78,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00045778,Sean Parnell (R),2050553.9100000001,2072101.88,17250.0,2058762.23,0.0,-25458.32,181386.75,1117323.9,941438.33,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00048131,Malcolm Kenyatta (D),1894226.99,1720664.23,60250.0,1838673.08,0.0,-4696.09,173562.76,994697.43,843975.65,2022-04-27 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00046277,Kathy Barnette (R),1731936.71,1630609.3199999998,18150.0,1730547.98,33.0,-16794.27,217076.39,1081824.26,648723.72,2022-04-27 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00050544,George Bochetto (R),827943.0,794465.46,0.0,277943.0,550000.0,0.0,33477.54,271660.0,6283.0,2022-04-27 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00048444,Kevin Baumlin (D),733714.26,733714.26,2500.0,134564.72,601365.38,-4715.84,0.0,117293.22,17271.5,2022-04-26 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00048443,Sharif Street (D),421112.0,366302.01,43050.0,383212.0,0.0,-5150.0,56106.34,366463.0,16749.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00048834,Eric Orts (D),238739.66999999998,237748.34,0.0,239643.12,0.0,-903.45,991.33,208428.34,31214.78,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00048123,Everett Stern (R),100842.3,90238.84,0.0,13695.0,87147.3,0.0,985.75,11300.0,2395.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00046728,John McGuigan (D),75958.16,75937.59000000001,0.0,43352.04,100000.0,-67393.88,20.57,36607.04,6745.0,2021-09-30 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00048129,Sean Gale (R),49235.93,43286.62,0.0,40020.0,9215.93,0.0,5949.31,32474.0,7546.0,2022-04-27 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00045064,Bobby Jeffries (R),41887.5,41887.5,0.0,40626.5,1261.0,0.0,0.0,29825.0,10801.5,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00048833,Craig Snyder (R),33271.57,33271.57,5000.0,26148.0,7123.57,-5000.0,0.0,25090.0,1058.0,2021-12-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00048132,Alex Khalil (D),17151.05,15431.87,0.0,13151.05,4000.0,0.0,1719.18,9836.0,3315.05,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00048125,Martin Rosenfeld (R),11150.76,7560.46,0.0,11150.76,0.0,0.0,5404.45,8706.76,2444.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,    ,0,2,N
N00048648,James Hayes (R),10016.29,11054.13,0.0,25.0,9991.29,0.0,0.0,0.0,25.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00049258,David Xu (R),3938.24,2898.85,0.0,50.0,2929.12,959.12,0.0,340.0,619.12,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00049402,Israel Cruz (R),648.0,619.46,0.0,648.0,0.0,0.0,28.54,0.0,648.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,    ,0,2,N
N00048130,Jeff Bartos (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,,0,2,N
N00048124,John DeBellis (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,,0,2,N
N00049259,Kael Dougherty (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,,0,2,N
N00048440,Billy Duch (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,,0,2,N
N00050028,John Eichenberg (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,,0,2,N
N00044736,Erik Gerhardt (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,,0,2,N
N00048128,Larry Johnson (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,O,Pennsylvania,"","",,,0,2,N
N00048650,Ron Johnson (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",O,Pennsylvania,"","",,,0,2,N
