cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00045369,Bill Hagerty (R),11423536.73,11368478.139999999,1074725.0,7314185.31,0.0,3034626.42,55058.59,7015335.68,298849.63,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,62.25,W,O,Tennessee,"","",2020-08-06 00:00:00 +0000,    ,0,2,N
N00047441,Marquita Bradshaw (D),1606932.4200000002,1590723.46,50855.28,1564486.33,0.0,-8409.19,16208.96,609650.56,954835.77,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,35.11,L,O,Tennessee,"","",2020-08-06 00:00:00 +0000,    ,0,2,N
N00035462,Yomi Faparusi (I),49874.31,49874.31,9261.55,19685.0,20927.76,0.0,0.0,11700.0,7985.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.36,L,O,Tennessee,"","",2020-08-06 00:00:00 +0000,    ,0,2,N
N00046469,Elizabeth McLeod (I),9777.16,9777.16,0.0,450.0,9327.16,0.0,0.0,300.0,150.0,2020-09-30 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.56,L,O,Tennessee,"","",2020-08-06 00:00:00 +0000,    ,0,2,N
N00043570,Dean Hill (I),57.74,57.74,0.0,0.0,57.74,0.0,0.0,0.0,0.0,2020-06-30 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.16,L,O,Tennessee,"","",2020-08-06 00:00:00 +0000,    ,0,2,N
N00047843,Jeffrey Grunau (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,O,Tennessee,"","",2020-08-06 00:00:00 +0000,,0,2,N
N00047844,Ronnie Henley (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,O,Tennessee,"","",2020-08-06 00:00:00 +0000,,0,2,N
N00047845,Steven Hooper (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,O,Tennessee,"","",2020-08-06 00:00:00 +0000,,0,2,N
N00047846,Aaron James (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,O,Tennessee,"","",2020-08-06 00:00:00 +0000,,0,2,N
N00046953,Kacey Morgan (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,O,Tennessee,"","",2020-08-06 00:00:00 +0000,,0,2,N
N00047847,Eric William Stansberry (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,O,Tennessee,"","",2020-08-06 00:00:00 +0000,,0,2,N
