cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00024852,John Cornyn (R),34158784.96,36437105.760000005,3862698.43,20494362.45,0.0,9801724.08,633460.69,13757021.47,6737340.9799999995,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,53.51,W,I,Texas,"","",2020-03-03 00:00:00 +0000,TXS1,0,1,N
N00041411,MJ Hegar (D),29272803.34,29233720.44,551645.55,28046021.96,0.0,675135.83,86564.8,13373345.73,14672676.23,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,53.87,L,C,Texas,"","",2020-03-03 00:00:00 +0000,    ,0,2,N
N00045889,Kerry McKennon (L),12707.43,14043.72,0.0,12706.43,0.0,1.0,3052.51,8244.2,4462.23,2020-11-23 00:00:00 +0000,2021-04-01 00:00:00 +0000,1.88,L,C,Texas,"","",2020-03-03 00:00:00 +0000,    ,0,2,N
N00046140,Arjun Srinivasan (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.0,L,C,Texas,"","",2020-03-03 00:00:00 +0000,    ,0,2,N
N00046374,James Brumley (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Texas,"","",2020-03-03 00:00:00 +0000,,0,2,N
N00034767,David B. Collins (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Texas,"","",2020-03-03 00:00:00 +0000,,0,2,N
N00047204,Kenney Elkomous (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Texas,"","",2020-03-03 00:00:00 +0000,,0,2,N
N00047385,Raymond Fogg Jr (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Texas,"","",2020-03-03 00:00:00 +0000,,0,2,N
N00046142,Cedric D Jefferson (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Texas,"","",2020-03-03 00:00:00 +0000,,0,2,N
N00026705,Rhett Smith (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Texas,"","",2020-03-03 00:00:00 +0000,,0,2,N
N00046643,Tim Smith (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Texas,"","",2020-03-03 00:00:00 +0000,,0,2,N
N00046955,Ricardo Turullols-Bonilla (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Texas,"","",2020-03-03 00:00:00 +0000,,0,2,N
N00047096,Luke Warren (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Texas,"","",2020-03-03 00:00:00 +0000,,0,2,N
