cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00000286,Mitt Romney (R),5504544.67,5246723.55,0.0,4309787.27,0.0,1194757.4,257821.76,3811287.0,498500.27,2018-12-31 00:00:00 +0000,2019-03-06 00:00:00 +0000,62.6,W,O,Utah,"","",2018-06-26 00:00:00 +0000,    ,0,2,N
N00041552,Jenny Wilson (D),956676.97,956336.61,92277.5,859059.6,0.0,5339.87,340.12,602725.6,256334.0,2018-12-31 00:00:00 +0000,2019-03-06 00:00:00 +0000,30.9,L,O,Utah,"","",2018-06-26 00:00:00 +0000,    ,0,2,N
N00034296,Tim Aalders (3),76399.18,76395.24,0.0,19799.18,56600.0,0.0,3.79,15237.0,4562.18,2018-11-26 00:00:00 +0000,2019-03-06 00:00:00 +0000,2.7,L,O,Utah,"","",2018-06-26 00:00:00 +0000,    ,0,2,N
N00035465,Craig Bowden (L),44654.0,43055.0,0.0,24852.0,18749.0,1053.0,6142.0,6172.0,18679.0,2018-03-31 00:00:00 +0000,2019-03-06 00:00:00 +0000,2.6,L,O,Utah,"","",2018-06-26 00:00:00 +0000,    ,0,2,N
N00043964,Glade G Fitzgerald (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019-03-06 00:00:00 +0000,0.0, ,O,Utah,"","",2018-06-26 00:00:00 +0000,,0,2,N
N00043965,Ryan Daniel Jackson (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019-03-06 00:00:00 +0000,0.0, ,O,Utah,"","",2018-06-26 00:00:00 +0000,,0,2,N
N00043966,Ty Jensen (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019-03-06 00:00:00 +0000,0.0, ,O,Utah,"","",2018-06-26 00:00:00 +0000,,0,2,N
N00026904,Cody Robert Judy (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019-03-06 00:00:00 +0000,0.0, ,O,Utah,"","",2018-06-26 00:00:00 +0000,,0,2,N
N00043967,Abe Korb (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019-03-06 00:00:00 +0000,0.0, ,O,Utah,"","",2018-06-26 00:00:00 +0000,,0,2,N
N00043089,Reed C. Mccandless (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019-03-06 00:00:00 +0000,0.0, ,O,Utah,"","",2018-06-26 00:00:00 +0000,,0,2,N
N00043968,Caleb Dan Reeve (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019-03-06 00:00:00 +0000,0.0, ,O,Utah,"","",2018-06-26 00:00:00 +0000,,0,2,N
N00043969,Hektor Reiksthegn (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019-03-06 00:00:00 +0000,0.0, ,O,Utah,"","",2018-06-26 00:00:00 +0000,,0,2,N
